First Name,Last Name,Username,Manager,Employee Role,Team,Course Code,Course Name,Due Date,Completed,Completed Date,Last Accessed,Email
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML111,Change Management,,yes,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML104,Emotional Intelligence,,no,,2021-02-16T16:49:50.368Z,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML106,Conflict Management,,no,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML112,Setting Goals,,yes,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML103,Active Listening,,yes,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML108,Conflict Resolution,,yes,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML110,Positive Communication,,no,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML113,Stress Management,,no,,,Blake.Rahman@brightspacedemo.com
Blake,Rahman,Blake.Rahman,Karen Lee,Instructional Design Manager,Instructional Design,ML115,Team Collaboration,,yes,,,Blake.Rahman@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML106,Conflict Management,,no,,,Ruth.Nolan@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML112,Setting Goals,,no,,,Ruth.Nolan@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML103,Active Listening,,yes,,,Ruth.Nolan@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML108,Conflict Resolution,,yes,,,Ruth.Nolan@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML110,Positive Communication,,yes,,,Ruth.Nolan@brightspacedemo.com
